Rank,Name,Wealth (in $1B USD),Country of Citizenship,Residence
270,Stephen Wynn,3.4,United States,United States
271,Kjeld Kirk Kristiansen,3.3,Denmark,Denmark
272,Dmitry Rybolovlev,3.3,Russia,Russia
273,William Cook,3.2,United States,United States
274,Nicolas Hayek,3.2,Switzerland,Switzerland
275,John Simplot & family,3.2,United States,United States
276,Friede Springer,3.2,Germany,Germany
277,Steven Udvar-Hazy,3.2,United States,United States
278,Leslie Wexner,3.2,United States,United States
279,Nadhmi Auchi,3.1,United Kingdom,United Kingdom
280,Elena Baturina,3.1,Russia,Russia
281,Khalid Bin Mahfouz & family,3.1,Saudi Arabia,Saudi Arabia
282,Edgar Bronfman Sr,3.1,United States,United States
283,Albert Frere,3.1,Belgium,Belgium
284,Dilip Shanghvi,3.1,India,India
285,Michael Ying,3.1,Hong Kong,Hong Kong
286,Chaleo Yoovidhya,3.1,Thailand,Thailand
287,Abdulla Al Futtaim,3,United Arab Emirates,United Arab Emirates
288,David & Frederick Barclay,3,United Kingdom,United Kingdom
289,Lee Bass,3,United States,United States
290,Sid Bass,3,United States,United States
291,Clive Calder,3,United Kingdom,Cayman Islands
292,Francesco Gaetano Caltagirone,3,Italy,Italy
293,Steven Cohen,3,United States,United States
294,Jesús de Polanco,3,Spain,Spain
295,Maurice Greenberg,3,United States,United States
296,Otto Happel,3,Germany,Switzerland
297,Henry Hillman,3,United States,United States
298,Indu Jain*,3,India,India
299,Bruce Kovner,3,United States,United States
300,Ronald Lauder,3,United States,United States
301,Fredrik Lundberg,3,Sweden,Sweden
302,Dietrich Mateschitz,3,Austria,Austria
303,Patrick McGovern,3,United States,United States
304,Arnon Milchan,3,Israel,Israel
305,Mario Moretti Polegato,3,Italy,Italy
306,A Jerrold Perenchio,3,United States,United States
307,Cyrus Poonawalla,3,India,India
308,Stefan Schörghuber,3,Germany,Germany
309,Steven Spielberg,3,United States,United States
310,Teh Hong Piow,3,Malaysia,Malaysia
311,Tsai Wan-Tsai & family,3,Taiwan,Taiwan
312,Klaus Tschira,3,Germany,Germany
313,Peter Woo & family,3,Hong Kong,Hong Kong
314,Mikhail Goutseriev,2.9,Russia,Russia
315,Martha Ingram & family,2.9,United States,United States
316,Lee Kun-Hee,2.9,South Korea,South Korea
317,Hiroshi Mikitani,2.9,Japan,Japan
318,Robert Miller,2.9,Canada,Canada
319,Quek Leng Chan,2.9,Malaysia,Malaysia
320,Moise Safra,2.9,Brazil,Brazil
321,Bruno Schroder & family,2.9,United Kingdom,United Kingdom
322,Donald Trump,2.9,United States,United States
323,Pierre Bellon & family,2.8,France,France
324,Carlo Benetton,2.8,Italy,Italy
325,Gilberto Benetton,2.8,Italy,Italy
326,Giuliana Benetton,2.8,Italy,Italy
327,Luciano Benetton,2.8,Italy,Italy
328,Barbara Piasecka Johnson,2.8,United States,Monaco
329,Richard Kinder,2.8,United States,United States
330,Victor Pinchuk,2.8,Ukraine,Ukraine
331,Mitchell Rales,2.8,United States,United States
332,Haim Saban,2.8,United States,United States
333,Takemitsu Takizaki,2.8,Japan,Japan
334,Dennis Washington,2.8,United States,United States
335,Mortimer Zuckerman,2.8,United States,United States
336,Juan Abelló,2.7,Spain,Spain
337,Riley Bechtel,2.7,United States,United States
338,Stephen Bechtel Jr,2.7,United States,United States
339,Charles Dolan & family,2.7,United States,United States
340,David Gottesman,2.7,United States,United States
341,Graeme Hart,2.7,New Zealand,New Zealand
342,Amos Hostetter Jr,2.7,United States,United States
343,Ann Walton Kroenke,2.7,United States,United States
344,Hugo Mann & family,2.7,Germany,Germany
345,Sergio Mantegazza,2.7,Switzerland,Switzerland
346,Axel Oberwelland,2.7,Germany,Germany
347,Steven Rales,2.7,United States,United States
348,Kjell Inge Rokke,2.7,Norway,Norway
349,Abdullah Al Rajhi,2.6,Saudi Arabia,Saudi Arabia
350,Heinz Bauer,2.6,Germany,Germany
351,Chen Din Hwa,2.6,Hong Kong,Hong Kong
352,Heinz-Horst Deichmann,2.6,Germany,Germany
353,John Dorrance III,2.6,Ireland,Ireland
354,Gabriel Escarrer,2.6,Spain,Spain
355,Masatoshi Ito,2.6,Japan,Japan
356,Henry Kravis,2.6,United States,United States
357,Lee Shin Cheng,2.6,Malaysia,Malaysia
358,Lui Che Woo,2.6,Hong Kong,Hong Kong
359,Kalanithi Maran,2.6,India,India
360,Wallace McCain,2.6,Canada,Canada
361,George Mitchell,2.6,United States,United States
362,Carl Pohlad,2.6,United States,United States
363,Grandhi Rao,2.6,India,India
364,George Roberts,2.6,United States,United States
365,David Rockefeller Sr,2.6,United States,United States
366,Clemmie Spangler Jr,2.6,United States,United States
367,Henry Sy,2.6,Philippines,Philippines
368,Jaime Zobel de Ayala & family,2.6,Philippines,Philippines
369,Majid Al Futtaim,2.5,United Arab Emirates,United Arab Emirates
370,Khalaf Al Habtoor,2.5,United Arab Emirates,United Arab Emirates
371,Roland Arnall,2.5,United States,United States
372,Edward Bass,2.5,United States,United States
373,Ronald Burkle,2.5,United States,United States
374,Ray Dolby,2.5,United States,United States
