Rank,Name,Wealth (in $1B USD),Country of Citizenship,Residence
715,Dirk Ziff,1.5,United States,United States
716,Robert Ziff,1.5,United States,United States
717,Mohamed Al-Bahar,1.4,Kuwait,Kuwait
718,Sulaiman Algosaibi,1.4,Saudi Arabia,Saudi Arabia
719,Semahat Arsel,1.4,Turkey,Turkey
720,Arthur Blank,1.4,United States,United States
721,David Cheriton,1.4,Canada,United States
722,Scott Cook,1.4,United States,United States
723,Barry Diller,1.4,United States,United States
724,Richard Farmer,1.4,United States,United States
725,Robert Fisher,1.4,United States,United States
726,William Fisher,1.4,United States,United States
727,Robert Friedland,1.4,United States,Singapore
728,Phillip Frost,1.4,United States,United States
729,Alan Gerry,1.4,United States,United States
730,Christopher Goldsbury,1.4,United States,United States
731,Leslie Gonda,1.4,United States,United States
732,Marguerite Harbert,1.4,United States,United States
733,Joseph Jamail Jr,1.4,United States,United States
734,Ryoichi Jinnai,1.4,Japan,Japan
735,Vyacheslav Kantor,1.4,Russia,Switzerland
736,Rahmi Koc,1.4,Turkey,Turkey
737,Tracy Krohn,1.4,United States,United States
738,Lev Kvetnoi,1.4,Russia,Russia
739,Thomas Lee,1.4,United States,United States
740,Peter Lewis,1.4,United States,United States
741,Joseph Mansueto,1.4,United States,United States
742,Gary Michelson,1.4,United States,United States
743,Shigenobu Nagamori,1.4,Japan,Japan
744,Vikas Oberoi,1.4,India,India
745,Nelson Peltz,1.4,United States,United States
746,Clayton Riddell,1.4,Canada,Canada
747,Phillip Ruffin,1.4,United States,United States
748,Herbert Siegel,1.4,United States,United States
749,Bautista Soler,1.4,Spain,Spain
750,Kerry Stokes,1.4,Australia,Australia
751,Todd Wagner,1.4,United States,United States
752,Alfred West Jr,1.4,United States,United States
753,Dean White,1.4,United States,United States
754,Syed Mokhtar AlBukhary,1.3,Malaysia,Malaysia
755,Carl Berg,1.3,United States,United States
756,Anneliese Brost,1.3,Germany,Germany
757,John Brown,1.3,United States,United States
758,James Cayne,1.3,United States,United States
759,Yong Keu Cha,1.3,South Korea,United Kingdom
760,Chu Lam Yiu,1.3,China,Hong Kong
761,Chung Mong-Joon,1.3,South Korea,South Korea
762,Robert Day,1.3,United States,United States
763,Richard Desmond,1.3,United Kingdom,United Kingdom
764,Roy Disney,1.3,United States,United States
765,Lloyd Dorfman,1.3,United Kingdom,United Kingdom
766,N Murray Edwards,1.3,Canada,Canada
767,Richard Egan,1.3,United States,United States
768,Kenneth Fisher,1.3,United States,United States
769,Thomas Flatley,1.3,United States,United States
770,Andrew Forrest,1.3,Australia,Australia
771,Soichiro Fukutake,1.3,Japan,Japan
772,Ernest Gallo & family,1.3,United States,United States
773,Naresh Goyal,1.3,India,United Kingdom
774,Richard Hayne,1.3,United States,United States
775,William Hilton,1.3,United States,United States
776,Vladimir Iorikh,1.3,Russia,Russia
777,Jerral Jones,1.3,United States,United States
778,Nasser Khalili,1.3,United Kingdom,United Kingdom
779,William Koch,1.3,United States,United States
780,Robert Kraft,1.3,United States,United States
781,Richard Li,1.3,Hong Kong,Hong Kong
782,Gary Magness,1.3,United States,United States
783,Anne Windfohr Marion,1.3,United States,United States
784,Manny Mashouf & family,1.3,United States,United States
785,Billy Joe "Red" McCombs,1.3,United States,United States
786,Robert McLane Jr,1.3,United States,United States
787,PNC Menon,1.3,Oman,India
788,Nandan Nilekani,1.3,India,India
789,William Pulte,1.3,United States,United States
790,Ferit Sahenk,1.3,Turkey,Turkey
791,Donald Schneider,1.3,United States,United States
792,Walter Scott Jr,1.3,United States,United States
793,Peter Unger,1.3,Germany,Germany
794,Hope Hill Van Beuren,1.3,United States,United States
795,Joop van den Ende,1.3,Netherlands,Netherlands
796,Charlotte Colket Weber,1.3,United States,United States
797,Margaret Whitman,1.3,United States,United States
798,Xu Jiayin,1.3,China,China
799,Dennis Albaugh,1.2,United States,United States
800,Edmund Ansin,1.2,United States,United States
801,Thomas Bailey,1.2,United States,United States
802,Timothy Blixseth,1.2,United States,United States
803,Henadiy Boholyubov,1.2,Ukraine,Ukraine
804,S Truett Cathy,1.2,United States,United States
805,William Connor II,1.2,United States,Hong Kong
806,David Duffield,1.2,United States,United States
807,Bulent Eczacibasi,1.2,Turkey,Turkey
808,Israel Englander,1.2,United States,United States
809,J Christopher Flowers,1.2,United States,United States
810,Thomas Friedkin,1.2,United States,United States
811,Daniel Gilbert,1.2,United States,United States
812,Senapathy Gopalakrishnan,1.2,India,India
813,Alec Gores,1.2,United States,United States
814,Pincus Green,1.2,United States,Switzerland
815,William Gross,1.2,United States,United States
816,Bjorgolfur Gudmundsson,1.2,Iceland,Iceland
817,Gerald Harvey,1.2,Australia,Australia
818,Dietmar Hopp,1.2,Germany,Germany
819,Suna Kirac,1.2,Turkey,Turkey
820,Jerome Kohlberg Jr,1.2,United States,United States
821,Ihor Kolomoyskyy,1.2,Ukraine,Ukraine
822,L Lowry Mays,1.2,United States,United States
823,Arturo Moreno,1.2,United States,United States
824,Or Wai Sheun,1.2,Hong Kong,Hong Kong
825,Tuncay Ozilhan,1.2,Turkey,Turkey
826,Sebastian Pinera,1.2,Chile,Chile
827,Wilbur Ross Jr,1.2,United States,United States
828,Silvio Scaglia,1.2,Italy,Italy
829,Richard Scaife,1.2,United States,United States
830,Anatoly Sedykh,1.2,Russia,Russia
831,John Sperling,1.2,United States,United States
832,Peter Sperling,1.2,United States,United States
833,Eliezer Steinbruch,1.2,Brazil,Brazil
834,Toichi Takenaka,1.2,Japan,Japan
835,Kenny Troutt,1.2,United States,United States
836,Kenneth Tuchman,1.2,United States,United States
837,Murat Vargi,1.2,Turkey,Turkey
838,Jan Wejchert,1.2,Poland,Poland
839,Olgun Zorlu,1.2,Turkey,Turkey
840,Rahul Bajaj,1.1,India,India
841,Boris Berezovsky,1.1,Russia,Russia
842,Stephen Bisciotti,1.1,United States,United States
843,Cao Dewang,1.1,China,Hong Kong
844,Chung Yong-Jin,1.1,South Korea,South Korea
845,James Clark,1.1,United States,United States
846,Henrique Constantino,1.1,Brazil,Brazil
847,Joaquim Constantino Neto,1.1,Brazil,Brazil
848,Ricardo Constantino,1.1,Brazil,Brazil
849,Constantino de Oliveira Jr,1.1,Brazil,Brazil
850,William Ding,1.1,China,China
851,John Edson,1.1,United States,United States
852,Albert Gubay,1.1,United Kingdom,United Kingdom
853,Dorrance Hamilton,1.1,United States,United States
854,Han Chang-Woo & family,1.1,Japan,Japan
855,Timothy Headington,1.1,United States,United States
856,Marvin Herb,1.1,United States,United States
857,Thomas Hunter,1.1,United Kingdom,Scotland
858,Pradeep Jain,1.1,India,India
859,Robert Johnson,1.1,United States,United States
860,George Joseph,1.1,United States,United States
861,Morris Kahn,1.1,Israel,Israel
862,Alexander Knaster,1.1,United States,United Kingdom
863,Andrei Kosogov,1.1,Russia,Russia
864,Kenneth Langone,1.1,United States,United States
865,Edward Linde,1.1,United States,United States
866,Liu Yonghao,1.1,China,China
867,Jonathan Lovelace Jr & family,1.1,United States,United States
868,Lu Guanqiu,1.1,China,China
869,Keshub Mahindra,1.1,India,India
870,John P Manning,1.1,United States,United States
871,Yalcin Sabanci,1.1,Turkey,Turkey
872,Filiz Sahenk,1.1,Turkey,Turkey
873,Monika Schoeller,1.1,Germany,Germany
874,Howard Schultz,1.1,United States,United States
875,Alexander Spanos & family,1.1,United States,United States
876,John Stanton,1.1,United States,United States
877,Suh Kyung-Bae,1.1,South Korea,South Korea
878,Joyce Raley Teel,1.1,United States,United States
879,Tiong Hiew King,1.1,Malaysia,Malaysia
880,Ion Tiriac,1.1,Romania,Romania
881,Dieter von Holtzbrinck,1.1,Germany,Germany
882,Stefan von Holtzbrinck,1.1,Germany,Germany
883,Roger Wang,1.1,United States,China
884,Gary West,1.1,United States,United States
885,Mary West,1.1,United States,United States
886,Samuel Wyly,1.1,United States,United States
887,Kamil Yazici,1.1,Turkey,Turkey
888,Tadahiro Yoshida & family,1.1,Japan,Japan
889,Zong Qinghou,1.1,China,China
890,Jerry Zucker,1.1,United States,United States
891,Mohamed Bin Issa Al Jaber,1,Saudi Arabia,Saudi Arabia
892,Mahdi Al-Tajir,1,United Arab Emirates,United Kingdom
893,Mary Anselmo,1,United States,United States
894,Louis Bacon,1,United States,United Kingdom
895,Thomas Barrack,1,United States,United States
896,Marc Benioff,1,United States,United States
897,Timothy Boyle,1,United States,United States
898,Stephen Case,1,United States,United States
899,Chen Fashu,1,China,China
900,Francis Choi,1,Hong Kong,Hong Kong
901,Hasan Colakoglu,1,Turkey,Turkey
902,Weili Dai,1,United States,United States
903,David Davidovich,1,Russia,Russia
904,L John Doerr,1,United States,United States
905,Michael Eisner,1,United States,United States
906,Paul Fireman,1,United States,United States
907,Richard Fuld Jr,1,United States,United States
908,Robert Galvin,1,United States,United States
909,Bruce Gordon,1,Australia,Bermuda
910,Suat Gunsel,1,Cyprus,Cyprus
911,Nazek Hariri,1,Lebanon,France
912,Michael Heisley Sr,1,United States,United States
913,Jeffrey Hildebrand,1,United States,United States
914,Jeremy Jacobs Sr,1,United States,United States
915,Stephen Karp,1,United States,United States
916,Asim Kibar,1,Turkey,Turkey
917,Li Wei,1,China,China
918,Liang Wengen,1,China,China
919,Leonard Litwin,1,United States,United States
920,Friedhelm Loh,1,Germany,Germany
921,Richard Manoogian,1,United States,United States
922,Miroslav Miskovic,1,Serbia,Serbia
923,William Moncrief Jr,1,United States,United States
924,William Morean,1,United States,United States
925,Dwight Opperman,1,United States,United States
926,Kenshin Oshima,1,Japan,Japan
927,Richard Peery,1,United States,United States
928,Paul Raymond,1,United Kingdom,United Kingdom
929,Ira Rennert,1,United States,United States
930,Gina Rinehart,1,Australia,Australia
931,Julian Robertson Jr,1,United States,United States
932,Arthur Rock,1,United States,United States
933,Joanne (JK) Rowling,1,United Kingdom,Scotland
934,Omer Sabanci,1,Turkey,Turkey
935,Lily Safra,1,Monaco,Monaco
936,David Shaw,1,United States,United States
937,Charles Simonyi,1,United States,United States
938,Song Weiping,1,China,China
939,Sehat Sutardja,1,United States,United States
940,Mehmet Sinan Tara,1,Turkey,Turkey
941,Tsai Eng Meng,1,Taiwan,Taiwan
942,Donald Tyson,1,United States,United States
943,Murat Ulker,1,Turkey,Turkey
944,Gary Wang,1,Taiwan,Taiwan
945,Faruk Yalcin,1,Turkey,Turkey
946,Kostyantin Zhevago,1,Ukraine,Ukraine
