Rank,Name,Wealth (in $1B USD),Country of Citizenship,Source of Wealth,Industry
491,William Kellogg,1.1,United States,,Fashion and Retail
492,Stephen Jarislowsky,1.1,Canada,,Finance
493,Marguerite Harbert,1.1,United States,,
494,David Green,1.1,United States,,Fashion and Retail
495,Malcolm Glazer,1.1,United States,,Sports
496,Alan Gerry,1.1,United States,,Media
497,John Gandel,1.1,Australia,,Real Estate
498,Robert Friedland,1.1,United States,,
499,Scott Cook,1.1,United States,,
500,Sid Bass,1.1,United States,,Oil
501,John Arrillaga,1.1,United States,,Real Estate
502,Zan Shengda,1.0849280000000001,China,Diversified,Diversified
503,Yu Kai,1.048484,China,Autonomous driving,Technology
504,Zhang Xuezheng,1.047097,China,Telecom,Technology
505,Zhu Yiming,1.037172,China,Semiconductors,Technology
506,Zhao Tongtong,1.02758,Canada,Hotels,Service
507,Zhang Xuewu,1.020621,China,Snacks,Food & Beverage
508,Zheng Fan,1.0061849999999999,China,electric vehicles,Automotive
509,Dean White,1,n/a,,
510,Hope Hill van Beuren,1,United States,,Food
511,Hiew King Tiong,1,Malaysia,,
512,Olav Thon,1,Norway,,Real Estate
513,Alfred Taubman,1,United States,,Real Estate
514,Lily Safra,1,Brazil,,Finance
515,J.K. Rowling,1,United Kingdom,,Media
516,Sergei Popov,1,Russia,,
517,Stefano Pessina,1,Italy,,Health Care
518,Liselott Persson,1,Sweden,,Retail
519,Larry Page,1,United States,,
520,Alfred Mann,1,United States,,Health Care
521,Morris Kahn,1,Israel,,Investments
522,Jerry Jones,1,United States,,Sports
523,William Ford Sr,1,United States,,Manufacturing
524,Bulent Eczacibasi,1,Turkey,,Pharmaceuticals
525,Steven Cohen,1,United States,,Investments
526,Turgay Ciner,1,Turkey,,
527,Gary Burrell,1,United States,,Manufacturing
528,Sergey Brin,1,United States,,
529,Neil Bluhm,1,United States,,Real Estate
530,George Argyros,1,United States,,Real Estate
531,John Anderson,1,United States,,Investments
532,Anil Agarwal,1,India,,
533,Alexander Abramov,1,Russia,,
