Rank,Name,Wealth (in $1B USD),Country of Citizenship,Source of Wealth,Industry
1,Carlos Slim Helu,53.5,Mexico,telecom,Telecom
2,Bill Gates,53,United States,Microsoft,Technology
3,Warren Buffett,47,United States,Berkshire Hathaway,Investments
4,Mukesh Ambani,29,India,"petrochemicals, oil & gas",Energy
5,Lakshmi Mittal,28.7,India,steel,Metals & Mining
6,Larry Ellison,28,United States,Oracle,Technology
7,Bernard Arnault,27.5,France,LVMH,Fashion and Retail
8,Eike Batista,27,Brazil,"mining, oil",Energy
9,Amancio Ortega,25,Spain,Zara,Fashion and Retail
10,Karl Albrecht,23.5,Germany,Aldi,Fashion and Retail
11,Ingvar Kamprad,23,Sweden,Ikea,Fashion and Retail
12,Christy Walton,22.5,United States,Walmart,Fashion and Retail
13,Stefan Persson,22.4,Sweden,Hennes & Mauritz,Fashion and Retail
14,Li Ka-shing,21,Hong Kong,diversified,Diversified
15,Jim Walton,20.7,United States,Walmart,Fashion and Retail
16,Alice Walton,20.6,United States,Walmart,Billionaire
17,Liliane Bettencourt,20,France,L'Oreal,Fashion and Retail
18,S. Robson Walton,19.8,United States,Walmart,Fashion and Retail
19,Prince Alwaleed Bin Talal Alsaud,19.4,Saudi Arabia,investments,Investments
20,David Thomson,19,Canada,inheritance,Media
21,Michael Otto,18.7,Germany,retail,Fashion and Retail
22,Lee Shau Kee,18.5,Hong Kong,real estate,Real Estate
23,Michael Bloomberg,18,United States,Bloomberg,Politics
24,Larry Page,17.5,United States,Google,Technology
25,David Koch,17.5,United States,"manufacturing, energy",Diversified
26,Charles Koch,17.5,United States,"manufacturing, energy",Diversified
27,Sergey Brin,17.5,United States,Google,Technology
28,Azim Premji,17,India,software,Technology
29,Kwok Thomas & Raymond,17,Hong Kong,real estate,Real Estate
30,Michele Ferrero,17,Italy,chocolates,Food and Beverage
31,Theo Albrecht,16.7,Germany,"Aldi, Trader  Joe's",
32,Vladimir Lisin,15.8,Russia,steel,Metals & Mining
33,Robert Kuok,14.5,Malaysia,diversified,Diversified
34,Steve Ballmer,14.5,United States,Microsoft,Technology
35,George Soros,14,United States,hedge funds,Investments
36,Anil Ambani,13.7,India,diversified,Diversified
37,Michael Dell,13.5,United States,Dell,Technology
38,Paul Allen,13.5,United States,"Microsoft, investments",Technology
39,Mikhail Prokhorov,13.4,Russia,investments,Investments
40,Shashi & Ravi Ruia,13,India,diversified,Diversified
41,Birgit Rausing,13,Sweden,packaging,Manufacturing
42,Mikhail Fridman,12.7,Russia,"oil, banking, telecom",Energy
43,Jeff Bezos,12.3,United States,Amazon,Technology
44,Savitri Jindal,12.2,India,steel,Metals & Mining
45,John Paulson,12,United States,hedge funds,Investments
46,Gerald Cavendish Grosvenor,12,United Kingdom,real estate,Real Estate
47,Donald Bren,12,United States,real estate,Real Estate
48,Jorge Paulo Lemann,11.5,Brazil,beer,Finance
49,Abigail Johnson,11.5,United States,Fidelity,Business
50,Roman Abramovich,11.2,Russia,"steel, investments",Diversified
51,Susanne Klatten,11.1,Germany,"BMW, drugs",Automotive
52,Ronald Perelman,11,United States,leveraged buyouts,Investments
53,John Mars,11,United States,"candy, pet food",Food and Beverage
54,Jacqueline Mars,11,United States,"candy, pet food",Food and Beverage
