Rank,Name,Wealth (in $1B USD),Country of Citizenship,Source of Wealth,Industry
55,"Forrest Mars, Jr.",11,United States,"candy, pet food",Food and Beverage
56,Iris Fontbona,11,Chile,mining,Metals & Mining
57,Oleg Deripaska,10.7,Russia,aluminum,Metals & Mining
58,Vagit Alekperov,10.6,Russia,Lukoil,Energy
59,Carl Icahn,10.5,United States,leveraged buyouts,Investments
60,Leonardo Del Vecchio,10.5,Italy,eyewear,Fashion and Retail
61,Vladimir Potanin,10.3,Russia,Norilsk Nickel,Metals & Mining
62,Phil Knight,10.2,United States,Nike,Fashion and Retail
63,Ricardo Salinas Pliego,10.1,Mexico,"retail, media, financing",Fashion and Retail
64,Joseph Safra,10,Brazil,banking,Finance
65,Hans Rausing,10,Sweden,packaging,Media
66,George Kaiser,10,United States,"oil & gas, banking",Energy
67,Anne Cox Chambers,10,United States,Cox Enterprises,Media
68,Ernesto Bertarelli,10,Switzerland,biotech,Health care
69,Mohammed Al Amoudi,10,Saudi Arabia,oil,Energy
70,Alexey Mordashov,9.9,Russia,Severstal,Metals & Mining
71,Viktor Rashnikov,9.8,Russia,steel,Manufacturing
72,German Larrea Mota Velasco,9.7,Mexico,mining,Metals & Mining
73,Sheldon Adelson,9.3,United States,"casinos, hotels",Gaming
74,Kushal Pal Singh,9,India,real estate,Real Estate
75,Dan Duncan,9,United States,energy,Energy
76,Silvio Berlusconi,9,Italy,media,Politics
77,Francois Pinault,8.7,France,retail,Fashion and Retail
78,Nasser Al-Kharafi,8.7,Kuwait,construction,Diversified
79,Dmitry Rybolovlev,8.6,Russia,fertilizer,Manufacturing
80,James Simons,8.5,United States,hedge funds,Investments
81,Iskander Makhmudov,8.5,Russia,"mining, metals, machinery",Metals & Mining
82,Alberto Bailleres Gonzalez,8.3,Mexico,mining,Metals & Mining
83,German Khan,8.2,Russia,"oil, banking, telecom",Energy
84,"Eliodoro, Bernardo & Patricia Matte",8.1,Chile,paper,Manufacturing
85,"Edward Johnson, III.",8,United States,Fidelity,Investments
86,Kumar Birla,7.9,India,commodities,Diversified
87,Sunil Mittal,7.8,India,telecom,Telecom
88,John Fredriksen,7.7,Cyprus,shipping,Logistics
89,Tadashi Yanai,7.6,Japan,retail,Fashion and Retail
90,Ananda Krishnan,7.6,Malaysia,telecom,Telecom
91,Petr Kellner,7.6,Czech Republic,insurance,Finance
92,Serge Dassault,7.6,France,aviation,Manufacturing
93,Vladimir Yevtushenkov,7.5,Russia,telecom,Telecom
94,Alain & Gerard Wertheimer,7.5,France,Chanel,Fashion and Retail
95,Nobutada Saji,7.5,Japan,beverages,
96,David & Simon Reuben,7.5,United Kingdom,"investments, real estate",Real Estate
97,Len Blavatnik,7.5,United States,Access Industries,Energy
98,Mohamed Bin Issa Al Jaber,7.5,Saudi Arabia,"real estate, hotels",Real Estate
99,August von Finck,7.3,Germany,investments,Investments
100,Galen Weston,7.2,Canada,retail,Fashion and Retail
101,Alisher Usmanov,7.2,Russia,"steel, telecom, stocks",Metals & Mining
102,Lee Kun-Hee,7.2,South Korea,Samsung,Diversified
103,Zong Qinghou,7,China,Beverages,Food and Beverage
104,Charlene de Carvalho-Heineken,7,Netherlands,Heineken,Food and Beverage
105,James Goodnight,6.9,United States,SAS Institute,Technology
106,Cheng Yu-tung,6.8,Hong Kong,real estate,Real Estate
107,Philip & Cristina Green,6.7,United Kingdom,retail,Fashion and Retail
108,Klaus-Michael Kuhne,6.6,Germany,shipping,Logistics
109,Sammy Ofer,6.5,Israel,shipping,Logistics
110,Alexei Kuzmichev,6.5,Russia,"oil, banking, telecom",Energy
111,John Kluge,6.5,United States,Metromedia,Media
112,Sulaiman Al Rajhi,6.5,Saudi Arabia,banking,Finance
113,Igor Zyuzin,6.4,Russia,steel,Metals & Mining
114,Viktor Vekselberg,6.4,Russia,"oil, metals",Energy
115,Steve Cohen,6.4,United States,hedge funds,Investments
116,Anil Agarwal,6.4,India,"mining, metals",Metals & Mining
117,Eric Schmidt,6.3,United States,Google,Technology
118,Rupert Murdoch,6.3,United States,News Corp,Media
119,Akira Mori,6.3,Japan,real estate,Real Estate
120,Curt Engelhorn,6.3,Germany,drugs,Health care
121,Hansjorg Wyss,6.1,Switzerland,medical devices,Health care
122,Alexander Abramov,6.1,Russia,"steel, mining",Metals & Mining
123,Jack Taylor,6,United States,Enterprise Rent-A-Car,Service
124,Julio Mario Santo Domingo,6,Colombia,"beer, diversified",Food and Beverage
125,Antonia Johnson,6,Sweden,diversified,Diversified
126,Philip Anschutz,6,United States,investments,Investments
127,Masayoshi Son,5.9,Japan,Softbank,Telecom
128,Nassef Sawiris,5.9,Egypt,construction,Construction & Engineering
129,Pallonji Mistry,5.8,Ireland,construction,Construction & Engineering
130,Joseph Lau,5.8,Hong Kong,real estate,Real Estate
131,Saleh Al Rajhi,5.8,Saudi Arabia,banking,Finance
132,Reinhold Wurth,5.7,Germany,fasteners,Manufacturing
133,Stefan Quandt,5.7,Germany,BMW,Automotive
134,Eli Broad,5.7,United States,investments,Investments
135,Luis Carlos Sarmiento,5.6,Colombia,banking,Finance
136,Dorothea Steinbruch,5.5,Brazil,steel,Metals & Mining
137,"John Menard, Jr.",5.5,United States,home improvement stores,Fashion and Retail
138,Suleiman Kerimov,5.5,Russia,stocks,Investments
139,Steve Jobs,5.5,United States,"Apple, Pixar",Technology
140,Harold Hamm,5.5,United States,Continental Resources,Energy
141,Terry Gou,5.5,Taiwan,electronics,Technology
142,Leonid Fedun,5.5,Russia,Lukoil,Energy
143,Kunio Busujima,5.4,Japan,gaming,Gaming
144,Ira Rennert,5.3,United States,investments,Investments
145,Spiro Latsis,5.3,Greece,banking,Diversified
146,Graeme Hart,5.3,New Zealand,investments,Investments
147,Giorgio Armani,5.3,Italy,fashion,Fashion and Retail
148,Pierre Omidyar,5.2,United States,Ebay,Technology
149,Adi Godrej,5.2,India,diversified,Diversified
150,Charles Ergen,5.2,United States,EchoStar,Media
151,Rinat Akhmetov,5.2,Ukraine,"steel, coal mines",Metals & Mining
152,Marcel Herrmann Telles,5.1,Brazil,beer,Food and Beverage
153,Michael Kadoorie,5.1,Hong Kong,diversified,Diversified
154,Patrick Soon-Shiong,5,United States,generic drugs,Health care
155,Johanna Quandt,5,Germany,BMW,Automotive
156,Sergei Popov,5,Russia,"banking, coal",Finance
157,Hasso Plattner,5,Germany,SAP,Technology
158,Horst Paulmann,5,Chile,retail,Fashion and Retail
159,Blair Parry-Okeden,5,United States,Cox Enterprises,Media
160,Nicky Oppenheimer,5,South Africa,De Beers,Metals & Mining
161,Frederik G.H. Meijer,5,United States,supermarkets,Fashion and Retail
162,Liu Yongxing,5,China,Feed,Service
163,Karl-Heinz Kipp,5,Germany,retail,Fashion and Retail
164,Jim Kennedy,5,United States,Cox Enterprises,Media
165,David Geffen,5,United States,"movies, music",Media
166,Tsai Wan-tsai,4.9,Taiwan,banking,Finance and Investments
167,Hiroshi Mikitani,4.8,Japan,e-commerce,Technology
168,Boris Ivanishvili,4.8,Russia,investments,Investments
169,Isak Andic,4.8,Spain,Mango,Fashion and Retail
170,Gautam Adani,4.8,India,"commodities, infrastructure",Diversified
171,Stephen Schwarzman,4.7,United States,investments,Investments
172,Charles Schwab,4.7,United States,discount stock brokerage,Investments
173,Dilip Shanghvi,4.6,India,pharmaceuticals,Health care
174,Ralph Lauren,4.6,United States,fashion,Fashion and Retail
175,Jean-Claude Decaux,4.6,France,advertising,Media
176,Zhang Jindong,4.5,China,Retail,Fashion and Retail
177,Harold Simmons,4.5,United States,investments,Investments
178,Carlos Alberto Sicupira,4.5,Brazil,beer,Food and Beverage
179,Marion MacMillan Pictet,4.5,United States,inheritance,Food and Beverage
180,"Samuel Newhouse, Jr.",4.5,United States,publishing,Media
181,Whitney MacMillan,4.5,United States,inheritance,Food and Beverage
182,"Cargill MacMillan, Jr.",4.5,United States,inheritance,Food and Beverage
183,Pauline MacMillan Keinath,4.5,United States,inheritance,Food and Beverage
184,Erivan Haub,4.5,Germany,retail,Service
185,Richard DeVos,4.5,United States,Alticor,Service
186,William Cook,4.5,United States,medical devices,Health care
187,Andrew Beal,4.5,United States,"Beal Bank, real estate",Investments
188,Robert Bass,4.5,United States,"oil, investments",Energy
189,Karl Wlaschek,4.4,Austria,department stores,Fashion and Retail
190,Wang Chuanfu,4.4,China,"batteries, electric cars",Manufacturing
191,Robert Rowling,4.4,United States,"oil & gas, investments",Energy
192,Elizabeth Mohn,4.4,Germany,media,Media
193,Leonid Mikhelson,4.4,Russia,natural gas,Energy
194,Andrey Melnichenko,4.4,Russia,"coal, fertilizers",Energy
195,Lee Shin Cheng,4.4,Malaysia,palm oil,Manufacturing
196,Micky Arison,4.4,United States,Carnival Cruises,Service
197,Peter Woo,4.3,Hong Kong,real estate,Real Estate
198,Tsai Eng-Meng,4.3,Taiwan,food,Food and Beverage
199,Thomas Schmidheiny,4.3,Switzerland,cement,Construction & Engineering
200,Heinz-Horst Deichmann,4.3,Germany,shoes,Fashion and Retail
201,Hiroshi Yamauchi,4.2,Japan,Nintendo,Gaming
202,Dennis Washington,4.2,United States,"construction, mining",Logistics
203,Henry Sy,4.2,Philippines,malls,Diversified
204,Shiv Nadar,4.2,India,infotech,Technology
205,Henry Kravis,4.2,United States,leveraged buyouts,Investments
206,Aloysio de Andrade Faria,4.2,Brazil,banking,Finance
207,Gustavo Cisneros,4.2,Venezuela,media,Media
208,Yoovidhya Family,4.1,Thailand,Red Bull,Food and Beverage
209,Dietrich Mateschitz,4.1,Austria,Red Bull,Food and Beverage
210,Andrew Forrest,4.1,Australia,mining,Metals & Mining
211,Lester Crown,4.1,United States,investments,Investments
212,Mark Zuckerberg,4,United States,Facebook,Technology
213,Robert Ziff,4,United States,"inheritance, hedge funds",Investments
214,Dirk Ziff,4,United States,"inheritance, hedge funds",Investments
215,Daniel Ziff,4,United States,"inheritance, hedge funds",Investments
216,Jim Pattison,4,Canada,diversified,Diversified
217,Donald Newhouse,4,United States,publishing,Media
218,Alain Merieux,4,France,biotech,Health care
219,Richard LeFrak,4,United States,real estate,Real Estate
220,Leonard Lauder,4,United States,Estee Lauder,Service
221,Charles Johnson,4,United States,Franklin Resources,Investments
222,James & Arthur Irving,4,Canada,oil,Energy
223,Hui Ka Yan,4,China,Real Estate,Real Estate
224,Bernard Ecclestone,4,United Kingdom,Formula One,Sports
225,John Paul DeJoria,4,United States,"hair products, tequila",Fashion and Retail
226,Ray Dalio,4,United States,hedge funds,Investments
227,Charles Butt,4,United States,supermarkets,
228,Richard Branson,4,United Kingdom,Virgin,Media
229,John Arnold,4,United States,hedge funds,Investments
230,Jeronimo Arango,4,Mexico,retail,Fashion and Retail
231,Americo Amorim,4,Portugal,"cork, investments",Diversified
232,Wu Yajun,3.9,China,Real estate,Real Estate
233,B. Wayne Hughes,3.9,United States,Public Storage,Service
234,Robert Holding,3.9,United States,"energy, resorts, ranching",Energy
235,Nicolas Hayek,3.9,Switzerland,Swatch,
236,Paul Desmarais,3.9,Canada,finance,Finance
237,Sam Zell,3.8,United States,"real estate, private equity",Real Estate
238,Thomas Strungmann,3.8,Germany,generic drugs,Health care
239,Andreas Strungmann,3.8,Germany,generic drugs,Health care
240,Bernard (Barry) Sherman,3.8,Canada,pharmaceuticals,Health care
241,George Roberts,3.8,United States,leveraged buyouts,Investments
242,Gordon Moore,3.8,United States,Intel,Technology
243,Paul Milstein,3.8,United States,"Emigrant, real estate",Real Estate
244,"Rupert Johnson, Jr.",3.8,United States,Franklin Resources,Investments
245,Wolfgang Herz,3.8,Germany,coffee,Fashion and Retail
246,Michael Herz,3.8,Germany,coffee,Fashion and Retail
247,Hermann Schnabel,3.7,Germany,chemicals,
248,Vladimir Kim,3.7,Kazakhstan,mining,Metals & Mining
249,Leonard Stern,3.6,United States,real estate,Real Estate
250,Arnon Milchan,3.6,Israel,New Regency,Media
251,Ma Huateng,3.6,China,Internet,Technology
252,Frank Lowy,3.6,Australia,malls,Real Estate
253,Liang Wengen,3.6,China,Manufacturing,Manufacturing
254,Richard Kinder,3.6,United States,pipelines,Energy
255,Chung Mong-Koo,3.6,South Korea,Hyundai,Automotive
256,Otto Beisheim,3.6,Germany,retail,Fashion and Retail
257,Pyotr Aven,3.6,Russia,"oil, banking, telecom",Energy
258,Aloys Wobben,3.5,Germany,wind energy,Energy
259,Stef Wertheimer,3.5,Israel,tools,Manufacturing
260,Wee Cho Yaw,3.5,Singapore,banking,Finance
261,David Tepper,3.5,United States,hedge funds,Investments
262,Michael & Rainer Schmidt-Ruthenbeck,3.5,Germany,retail,Fashion and Retail
263,James Packer,3.5,Australia,media,Diversified
264,Denis O'Brien,3.5,Ireland,telecom,Telecom
265,Rosalia Mera,3.5,Spain,Zara,Fashion and Retail
266,Lorenzo Mendoza,3.5,Venezuela,beverages,Food and Beverage
267,Robin Li,3.5,China,Baidu,Technology
268,Kuok Khoon Hong,3.5,Singapore,palm oil,Manufacturing
269,Kjeld Kirk Kristiansen,3.5,Denmark,Lego,Manufacturing
270,Bruce Kovner,3.5,United States,hedge funds,Investments
271,R. Budi Hartono,3.5,Indonesia,tobacco,Finance
272,Michael Hartono,3.5,Indonesia,tobacco,Manufacturing
273,Stein Erik Hagen,3.5,Norway,supermarkets,Fashion and Retail
274,William Fung,3.5,Hong Kong,distribution,Fashion and Retail
275,Ray Dolby,3.5,United States,Dolby Laboratories,Technology
276,Abdul Aziz Al Ghurair,3.5,United Arab Emirates,banking,Finance
277,Yang Huiyan,3.4,China,real estate,Real Estate
278,Teh Hong Piow,3.4,Malaysia,banking,Finance
279,John Sall,3.4,United States,SAS Institute,Technology
280,Stephen Ross,3.4,United States,real estate,Real Estate
281,Quek Leng Chan,3.4,Malaysia,diversified,Diversified
282,Eitaro Itoyama,3.4,Japan,golf courses,Real Estate
283,Chen Fashu,3.4,China,Investment,Diversified
284,Bernard Broermann,3.4,Germany,hospitals,Health care
285,Martin & Olivier Bouygues,3.4,France,"construction, media",Construction & Engineering
286,Shari Arison,3.4,Israel,Carnival Cruises,Billionaire
287,Haim Saban,3.3,United States,television,Media
288,"Henry Ross Perot, Sr.",3.3,United States,"computer services, real estate",Technology
289,Daniel Och,3.3,United States,hedge funds,Investments
290,Alexander Machkevich,3.3,Israel,"mining, metals",Metals & Mining
291,Alijan Ibragimov,3.3,Kazakhstan,"mining, metals",Metals & Mining
292,Hui Wing Mau,3.3,Hong Kong,Real estate,Real Estate
293,He Xiangjian,3.3,China,Appliances,Manufacturing
294,Walter Haefner,3.3,Switzerland,software,Technology
295,Victor Fung,3.3,United States,distribution,Logistics
296,Patokh Chodiev,3.3,Belgium,"mining, metals",Metals & Mining
297,Nikolai Tsvetkov,3.2,Russia,"banking, retail",Finance
298,Malvinder & Shivinder Singh,3.2,India,healthcare,Health care
299,Anton Schlecker,3.2,Germany,retail,Fashion and Retail
300,G. M. Rao,3.2,India,infrastructure,Logistics
301,Liu Zhongtian,3.2,China,Manufacturing,Metals & Mining
302,Ann Walton Kroenke,3.2,United States,Walmart,Fashion and Retail
303,"Paul Tudor Jones, II.",3.2,United States,hedge funds,Investments
304,Frits Goldschmeding,3.2,Netherlands,temp agency,Service
305,Chen Din Hwa,3.2,Hong Kong,real estate,Real Estate
306,Ron Burkle,3.2,United States,"supermarkets, investments",Investments
307,Zhou Chengjian,3.1,China,Retail,Fashion and Retail
308,Takemitsu Takizaki,3.1,Japan,sensors,Manufacturing
309,Onsi Sawiris,3.1,Egypt,construction,Construction & Engineering
310,Victor Pinchuk,3.1,Ukraine,steel pipes,Metals & Mining
311,Patrick McGovern,3.1,United States,IDG,Media
312,Lu Xiangyang,3.1,China,Investments,Investments
313,Kirk Kerkorian,3.1,United States,"investments, casinos",Gaming
314,Heidi Horten,3.1,Austria,department stores,Fashion and Retail
315,Richard Chandler,3.1,New Zealand,investments,Investments
316,Wang Jianlin,3,China,Real Estate,Real Estate
317,Harry Triguboff,3,Australia,real estate,Real Estate
318,Warren Stephens,3,United States,Stephens Inc.,Investments
319,Steven Spielberg,3,United States,movies,Media
320,Martua Sitorus,3,Indonesia,palm oil,Manufacturing
321,Donald Schneider,3,United States,trucking,Logistics
322,Liselott Persson,3,Sweden,Hennes & Mauritz,Fashion and Retail
323,Husnu Ozyegin,3,Turkey,"finance, retail",Finance
324,George Lucas,3,United States,Star Wars,Media
325,Joe Lewis,3,United Kingdom,investments,Investments
326,Ted Lerner,3,United States,real estate,Real Estate
327,Edward Lampert,3,United States,investments,Investments
328,Uday Kotak,3,India,banking,Finance
329,"Herbert Kohler, Jr.",3,United States,plumbing fixtures,Manufacturing
330,William Koch,3,United States,"oil, investments",Energy
331,Peter Kellogg,3,United States,investments,Investments
332,Barbara Piasecka Johnson,3,United States,inheritance,Health care
333,James Jannard,3,United States,"Oakley, Red Digital Cinema",Fashion and Retail
334,Ray Lee Hunt,3,United States,"oil, real estate",Energy
335,Bahaa Hariri,3,Switzerland,"real estate, investments, logistics",Real Estate
336,David Green,3,United States,Hobby Lobby,Fashion and Retail
337,"Thomas Frist, Jr.",3,United States,HCA Healthcare,Health care
338,Antonio Ermirio de Moraes,3,Brazil,diversified,Diversified
339,Abilio dos Santos Diniz,3,Brazil,supermarkets,Fashion and Retail
340,"Stephen Bechtel, Jr.",3,United States,"engineering, construction",Construction & Engineering
341,Riley Bechtel,3,United States,"engineering, construction",Construction & Engineering
342,Ty Warner,2.9,United States,Beanie Babies,Real Estate
343,John A. Sobrato,2.9,United States,real estate,Real Estate
344,Charoen Sirivadhanabhakdi,2.9,Thailand,alcohol,Food and Beverage
345,Richard Schulze,2.9,United States,Best Buy,Fashion and Retail
346,Dmitry Pumpyansky,2.9,Russia,steel pipes,Metals & Mining
347,Kalanithi Maran,2.9,India,media,Media
348,Barry Lam,2.9,Taiwan,electronics,Technology
349,Stanley Kroenke,2.9,United States,"sports, real estate",Sports
350,Mehmet Emin Karamehmet,2.9,Turkey,telecom,Telecom
351,Sergei Galitsky,2.9,Russia,retail,Fashion and Retail
352,Charles Cadogan,2.9,United Kingdom,real estate,Real Estate
353,Elena Baturina,2.9,Russia,construction,Construction & Engineering
354,Roger Wang,2.8,United States,retail,Fashion and Retail
355,Stephan Schmidheiny,2.8,Switzerland,investments,Investments
356,Sergio Mantegazza,2.8,Switzerland,travel,Service
357,Indu Jain,2.8,India,media,Media
358,Micky Jagtiani,2.8,India,retail,Fashion and Retail
359,Otto Happel,2.8,Germany,engineering,Construction & Engineering
360,Alexander Frolov,2.8,Russia,"mining, steel",Metals & Mining
361,Stanley Druckenmiller,2.8,United States,hedge funds,Investments
362,Subhash Chandra,2.8,India,media,Media
363,Steven Udvar-Hazy,2.7,United States,International Lease Finance,Service
364,Joan Tisch,2.7,United States,Loews,Investments
365,Heinz Hermann Thiele,2.7,Germany,brakes,Construction & Engineering
366,Nancy Walton Laurie,2.7,United States,Walmart,Fashion and Retail
367,Sarik Tara,2.6,Turkey,construction,Construction & Engineering
368,Steven Rales,2.6,United States,Danaher Corp,Service
369,Mitchell Rales,2.6,United States,Danaher Corp,Manufacturing
370,Ronald Lauder,2.6,United States,Estee Lauder,Fashion and Retail
371,Saleh Kamel,2.6,Saudi Arabia,diversified,Diversified
372,Albert Frere,2.6,Belgium,investments,Investments
373,Charles Dolan,2.6,United States,Cablevision Systems,Media
374,Zhang Zhirong,2.5,Hong Kong,real estate,Logistics
375,Michael Ying,2.5,Hong Kong,Esprit,Fashion and Retail
376,John Tu,2.5,United States,computer memory,Technology
377,David Sun,2.5,United States,computer memory,Technology
378,Friede Springer,2.5,Germany,publishing,Media
379,David Shaw,2.5,United States,hedge funds,Investments
380,Naguib Sawiris,2.5,Egypt,telecom,Telecom
381,David Rubenstein,2.5,United States,leveraged buyouts,Investments
382,Richard Rainwater,2.5,United States,"real estate, energy, insurance",Investments
383,David Murdock,2.5,United States,"Dole, real estate",Food and Beverage
384,Robert Miller,2.5,Canada,electronics,Fashion and Retail
385,Taha Mikati,2.5,Lebanon,telecom,Telecom
386,Najib Mikati,2.5,Lebanon,telecom,Telecom
387,Lu Zhiqiang,2.5,China,Real Estate,Diversified
388,Liu Yonghao,2.5,China,Feed,Service
389,James Leprino,2.5,United States,cheese,Food and Beverage
390,Guy Laliberte,2.5,Canada,Cirque du Soleil,Media
391,W. Barron Hilton,2.5,United States,"hotels, casinos",Service
392,Laurence Graff,2.5,United Kingdom,diamond jewelry,Fashion and Retail
393,Doris Fisher,2.5,United States,Gap,Fashion and Retail
394,Daniel D'Aniello,2.5,United States,leveraged buyouts,Investments
395,"William Conway, Jr.",2.5,United States,leveraged buyouts,Investments
396,Hubert Burda,2.5,Germany,publishing,Media
397,Edgar Bronfman Sr,2.5,United States,liquor,Service
398,Leon Black,2.5,United States,leveraged buyouts,Investments
399,David Azrieli,2.5,Canada,shopping malls,Real Estate
400,Zhu Yicai,2.4,China,Meat processing,Diversified
401,Oprah Winfrey,2.4,United States,television,Media
402,Ronda Stryker,2.4,United States,Stryker Corp.,Health care
403,Jeffrey Skoll,2.4,Canada,Ebay,Technology
404,Dieter Schnabel,2.4,Germany,chemicals,Manufacturing
405,Emanuele (Lino) Saputo,2.4,Canada,dairy,Food and Beverage
406,Sumner Redstone,2.4,United States,Viacom,Media
407,Mario Moretti Polegato,2.4,Italy,shoes,Fashion and Retail
408,John Malone,2.4,United States,cable television,Media
409,Lu Guanqiu,2.4,China,Auto parts,Diversified
410,Manuel Jove,2.4,Spain,real estate,Real Estate
411,Hawken Xiu Li,2.4,United Kingdom,Real Estate,Real Estate
412,Guo Guangchang,2.4,China,Diversified,Diversified
413,Malcolm Glazer,2.4,United States,"sports teams, real estate",Sports
414,John Gandel,2.4,Australia,real estate,Real Estate
415,Filaret Galchev,2.4,Russia,cement,Construction & Engineering
416,John Dorrance III,2.4,Ireland,Campbell Soup,Food and Beverage
417,Mark Cuban,2.4,United States,Broadcast.com,Media
418,Clive Calder,2.4,United Kingdom,record label,Media
419,Vladimir Bogdanov,2.4,Russia,oil,Energy
420,Mohammed Al Issa,2.4,Saudi Arabia,investments,Investments
421,Yeoh Tiong Lay,2.3,Malaysia,diversified,Diversified
422,Leslie Wexner,2.3,United States,Limited Brands,Fashion and Retail
423,Moise Safra,2.3,Brazil,banking,Finance
424,Johann Rupert,2.3,South Africa,luxury goods,Fashion and Retail
425,Sean Quinn,2.3,Ireland,"real estate, insurance, cement, glassmaking, hotel",
426,Patrice Motsepe,2.3,South Africa,mining,Metals & Mining
427,Wallace McCain,2.3,Canada,food,Food and Beverage
428,Lin Rong San,2.3,Taiwan,real estate,Real Estate
429,Huang Rulun,2.3,China,Real Estate,Real Estate
430,"Amos Hostetter, Jr.",2.3,United States,cable television,Media
431,Gunter Herz,2.3,Germany,coffee,Investments
432,Archie Aldis Emmerson,2.3,United States,"timberland, lumber mills",Manufacturing
433,David & Frederick Barclay,2.3,United Kingdom,"media, retail",Media
434,James Balsillie,2.3,Canada,Research in Motion,Technology
435,Abdullah Al Rajhi,2.3,Saudi Arabia,banking,Finance
436,Saif Al Ghurair,2.3,United Arab Emirates,diversified,Diversified
437,Albert von Thurn und Taxis,2.2,Germany,diversified,Diversified
438,Olav Thon,2.2,Norway,real estate,Real Estate
439,Glen Taylor,2.2,United States,printing,Service
440,Peter Sondakh,2.2,Indonesia,"telecom, retail, hotels",Investments
441,Antonio Luiz Seabra,2.2,Brazil,cosmetics,Fashion and Retail
442,Bruno Schroder,2.2,United Kingdom,banking,Finance
443,Alexandra Schorghuber,2.2,Germany,real estate,Real Estate
444,"David Rockefeller, Sr.",2.2,United States,"Standard Oil, banking",Energy
445,"Julian Robertson, Jr.",2.2,United States,hedge funds,Investments
446,Sebastian Pinera,2.2,Chile,Investments,Politics
447,Dinu Patriciu,2.2,Romania,refineries,Oil
448,Kerr Neilson,2.2,Australia,investments,Investments
449,George Mitchell,2.2,United States,Mitchell Energy,Energy
450,Masahiro Miki,2.2,Japan,retail,Fashion and Retail
451,Mary Alice Dorrance Malone,2.2,United States,inheritance,Food and Beverage
452,Mike Lazaridis,2.2,Canada,Research in Motion,Technology
453,Alicia Koplowitz,2.2,Spain,investments,Investments
454,Elie Horn,2.2,Brazil,real estate,Real Estate
455,Daniela Herz,2.2,Germany,coffee,Investments
456,Mikhail Gutseriev,2.2,Russia,"oil, real estate",Energy
457,Tom Gores,2.2,United States,private equity,Investments
458,Phillip Frost,2.2,United States,pharmaceuticals,Health care
459,Richard Elman,2.2,United Kingdom,commodities,Finance and Investments
460,William Ding,2.2,China,Internet,Technology
